Rank,Name,Position,Points,Picked
1,Saquon Barkley,NYGRB,324.3,0
2,Christian McCaffrey,CarRB,293.9,0
3,Alvin Kamara,NORB,295.8,0
4,Ezekiel ElliottQ,DalRB,308.5,0
5,Le'Veon Bell,NYJRB,265.8,0
6,David Johnson,AriRB,265.9,0
7,Davante Adams,GBWR,245.3,0
8,DeAndre Hopkins,HouWR,244.7,0
9,Michael Thomas,NOWR,237.2,0
10,Julio Jones,AtlWR,241.9,0
11,Todd Gurley II,LARRB,267.4,0
12,Melvin GordonO,LACRB,263.5,0
13,Travis Kelce,KCTE,229,0
14,Joe Mixon,CinRB,243.7,0
15,Odell Beckham Jr.,CleWR,232.3,0
16,Tyreek Hill,KCWR,245.7,0
17,Antonio BrownQ,OakWR,229.9,0
18,James Conner,PitRB,239.4,0
19,JuJu Smith-Schuster,PitWR,225.5,0
20,Mike Evans,TBWR,217.7,0
21,Dalvin Cook,MinRB,232.9,0
22,Keenan Allen,LACWR,213.9,0
23,Leonard Fournette,JaxRB,233.2,0
24,T.Y. Hilton,IndWR,205.2,0
25,Amari CooperQ,DalWR,202,0
26,Zach Ertz,PhiTE,187.3,0
27,George Kittle,SFTE,191.7,0
28,Kerryon Johnson,DetRB,216.3,0
29,Devonta Freeman,AtlRB,217.9,0
30,Julian Edelman,NEWR,210.8,0
31,Adam Thielen,MinWR,197.3,0
32,Brandin CooksQ,LARWR,193.1,0
33,Stefon Diggs,MinWR,183.2,0
34,Nick Chubb,CleRB,215.1,0
35,Josh Jacobs,OakRB,209.9,0
36,Derrick HenryQ,TenRB,223.9,0
37,Marlon Mack,IndRB,206.2,0
38,Aaron JonesQ,GBRB,205.3,0
39,Robert Woods,LARWR,177.1,0
40,Kenny Golladay,DetWR,178.3,0
41,Cooper KuppQ,LARWR,167.3,0
42,Alshon Jeffery,PhiWR,171.6,0
43,Chris Godwin,TBWR,168.8,0
44,Damien WilliamsQ,KCRB,207.9,0
45,James White,NERB,181.3,0
46,Sony Michel,NERB,202.6,0
47,Patrick Mahomes,KCQB,332.5,0
48,Chris Carson,SeaRB,202.3,0
49,Mark Ingram II,BalRB,189.6,0
50,Lamar Miller,HouRB,183.2,0
51,Tyler Lockett,SeaWR,172.4,0
52,Mike Williams,LACWR,174.8,0
53,DJ Moore,CarWR,171.3,0
54,Tyler Boyd,CinWR,162.8,0
55,Sammy Watkins,KCWR,166.8,0
56,Allen Robinson,ChiWR,154,0
57,A.J. GreenD,CinWR,167.8,0
58,Calvin RidleyQ,AtlWR,168,0
59,Evan Engram,NYGTE,143.3,0
60,Kenyan Drake,MiaRB,177.9,0
61,Phillip Lindsay,DenRB,164.3,0
62,David Montgomery,ChiRB,170.1,0
63,Tarik Cohen,ChiRB,152,0
64,Sterling ShepardQ,NYGWR,167.2,0
65,Jarvis Landry,CleWR,158.7,0
66,O.J. Howard,TBTE,138.5,0
67,Hunter Henry,LACTE,136,0
68,Derrius Guice,WshRB,174.5,0
69,Miles Sanders,PhiRB,138.1,0
70,Tevin Coleman,SFRB,140.4,0
71,Austin Ekeler,LACRB,115.9,0
72,Deshaun Watson,HouQB,319.6,0
73,Aaron Rodgers,GBQB,311.4,0
74,Matt Ryan,AtlQB,309.8,0
75,Andrew LuckQ,IndQB,304.7,0
76,Robby Anderson,NYJWR,160.5,0
77,Will Fuller V,HouWR,135.8,0
78,Marvin Jones Jr.,DetWR,155.9,0
79,Dede Westbrook,JaxWR,145.5,0
80,Christian Kirk,AriWR,146,0
81,Dante Pettis,SFWR,138.7,0
82,Emmanuel SandersQ,DenWR,132.1,0
83,Corey Davis,TenWR,131.4,0
84,Jared Cook,NOTE,131.4,0
85,Rashaad Penny,SeaRB,120,0
86,Darrell Henderson,LARRB,106.7,0
87,Nyheim Hines,IndRB,116.5,0
88,Royce Freeman,DenRB,111.2,0
89,LeSean McCoy,BufRB,114.8,0
90,Peyton Barber,TBRB,127.2,0
91,Latavius Murray,NORB,119.6,0
92,Ronald Jones,TBRB,111.4,0
93,Jordan Howard,PhiRB,117.7,0
94,Courtland Sutton,DenWR,129.4,0
95,Keke CouteeQ,HouWR,129.2,0
96,Larry Fitzgerald,AriWR,144.8,0
97,Curtis Samuel,CarWR,131.2,0
98,Michael Gallup,DalWR,130.5,0
99,Vance McDonald,PitTE,121.7,0
100,David Njoku,CleTE,123.7,0
101,Delanie Walker,TenTE,118.8,0
102,Cam Newton,CarQB,303,0
103,Baker Mayfield,CleQB,285.6,0
104,Donte MoncriefQ,PitWR,127,0
105,James Washington,PitWR,116,0
106,DeSean Jackson,PhiWR,128,0
107,Geronimo Allison,GBWR,120.8,0
108,Marquez Valdes-Scantling,GBWR,112.3,0
109,Eric Ebron,IndTE,117.2,0
110,Trey BurtonQ,ChiTE,111.1,0
111,Carson Wentz,PhiQB,291.8,0
112,Drew Brees,NOQB,282,0
113,Ben Roethlisberger,PitQB,283.9,0
114,Dak Prescott,DalQB,298.4,0
115,Russell Wilson,SeaQB,279.9,0
116,Carlos Hyde,KCRB,84.7,0
117,Kalen Ballage,MiaRB,104.3,0
118,Jerick McKinnonQ,SFRB,100.5,0
119,Matt Breida,SFRB,101.1,0
120,Jalen Richard,OakRB,104.4,0
121,Kyler Murray,AriQB,287.8,0
122,Jared Goff,LARQB,278.3,0
123,Tom Brady,NEQB,271,0
124,Tyrell Williams,OakWR,127,0
125,Devin Funchess,IndWR,118.9,0
126,Anthony Miller,ChiWR,116.6,0
127,DK Metcalf,SeaWR,115.9,0
128,Jamison Crowder,NYJWR,119.1,0
129,Golden Tate,NYGWR,102.8,0
130,Kenny Stills,MiaWR,127.9,0
131,Albert Wilson,MiaWR,116.5,0
132,Austin Hooper,AtlTE,115.7,0
133,Jordan Reed,WshTE,107.4,0
134,Greg Olsen,CarTE,111.4,0
135,N'Keal Harry,NEWR,112.4,0
136,DaeSean Hamilton,DenWR,111.7,0
137,Parris CampbellQ,IndWR,97.9,0
138,Adam Humphries,TenWR,111.6,0
139,Mitchell Trubisky,ChiQB,276.9,0
140,Jameis Winston,TBQB,274.3,0
141,Bears D/ST,ChiD/ST,123.4,0
142,Jaguars D/ST,JaxD/ST,94.3,0
143,Bills D/ST,BufD/ST,107.6,0
144,Rams D/ST,LARD/ST,98.7,0
145,Vikings D/ST,MinD/ST,94.8,0
146,Saints D/ST,NOD/ST,99.4,0
147,Chargers D/ST,LACD/ST,95.5,0
148,Patriots D/ST,NED/ST,93.7,0
149,Colts D/ST,IndD/ST,97.7,0
150,Titans D/ST,TenD/ST,95.3,0
151,Greg Zuerlein,LARK,158.9,0
152,Justin Tucker,BalK,147.5,0
153,Wil Lutz,NOK,138.4,0
154,Harrison Butker,KCK,136.5,0
155,Stephen Gostkowski,NEK,134,0
156,Ka'imi Fairbairn,HouK,138.2,0
157,Robbie Gould,SFK,132.7,0
158,Mike Badgley,LACK,131.6,0
159,Adam Vinatieri,IndK,129.1,0
160,Brett Maher,DalK,132,0
161,Marquise Brown,BalWR,108.4,0
162,Mohamed Sanu,AtlWR,123.6,0
163,Paul Richardson,WshWR,112.9,0
164,Tre'Quan Smith,NOWR,68.9,0
165,John Brown,BufWR,108.5,0
166,DJ Chark,JaxWR,107.5,0
167,Jack DoyleQ,IndTE,102.6,0
168,Jimmy Graham,GBTE,107.2,0
169,Lamar Jackson,BalQB,261.4,0
170,Philip Rivers,LACQB,264.8,0
171,Dion Lewis,TenRB,104.2,0
172,Duke Johnson Jr.Q,HouRB,91.3,0
173,Mike Davis,ChiRB,49,0
174,C.J. Anderson,DetRB,115.7,0
175,Giovani Bernard,CinRB,100.5,0
176,Jamaal WilliamsQ,GBRB,99.7,0
177,Kyle RudolphQ,MinTE,105.8,0
178,Mark Andrews,BalTE,103.2,0
179,Deebo Samuel,SFWR,94,0
180,Andy Isabella,AriWR,86.2,0
181,A.J. BrownQ,TenWR,89.8,0
182,Ted Ginn Jr.,NOWR,108.4,0
183,Kirk Cousins,MinQB,266.2,0
184,Chris Thompson,WshRB,89.6,0
185,Jaylen Samuels,PitRB,89.7,0
186,Devin Singletary,BufRB,62.8,0
187,Damien Harris,NERB,60.8,0
188,Kareem HuntSSPD,CleRB,63.7,0
189,Broncos D/ST,DenD/ST,93.8,0
190,Texans D/ST,HouD/ST,84,0
191,Matt Prater,DetK,129.1,0
192,Jake Elliott,PhiK,128.2,0
193,Chris HerndonSSPD,NYJTE,83.3,0
194,Justice Hill,BalRB,45.9,0
195,Justin Jackson,LACRB,15.4,0
196,Hakeem Butler,AriWR,69.9,0
197,Mecole Hardman,KCWR,72,0
198,Randall Cobb,DalWR,89.3,0
199,Ito Smith,AtlRB,70.2,0
200,Theo Riddick,DenRB,67.5,0
